state,postcode,country,state_ok,postcode_state_country,Latitude,Longitude,dist_to_rch,km_to_rch,albury_wodonga,barwon_geelong,bendigo_bendigo,cabrini_brighton,cabrini_malvern,casey_berwick,central_sale,dandenong_dandenong,eastern_boxhill,echuca_echuca,epworth_richmond,frankston_frankston,grampians_ballarat,grampians_horsham,latrobe_traralgonwest,maroondah_eastringwood,mildura_mildura,monash_clayton,shepparton_shepparton,south_warrnambool,sunshine_stalbans,northern_epping,royal_parkville,wangaratta_wangaratta,werribee_werribee,west_warragul,TravelDuration,TravelDuration_min,min_distance,closest_hospital
VIC,3025,Australia,Victoria,3025 Victoria Australia,-37.83778381,144.8347321,11.3,11.3,262.7,54.0,130.5,16.0,17.6,50.3,199.2,37.2,25.1,189.2,14.1,43.3,92.4,263.9,149.6,37.7,472.7,26.9,172.2,215.3,8.7,25.9,11.2,211.2,13.1,102.7,1343.0,22.4,11.2,sunshine_stalbans
VIC,3026,Australia,Victoria,3026 Victoria Australia,-37.81641388,144.7820435,15.0,15.0,264.3,52.2,126.6,21.2,22.6,55.5,204.2,42.4,29.6,186.7,18.5,48.0,87.2,258.7,154.7,42.1,468.2,32.1,171.4,211.7,6.9,27.4,14.9,212.3,10.6,107.9,1344.0,22.4,14.9,sunshine_stalbans
VIC,3027,Australia,Victoria,3027 Victoria Australia,-37.86201096,144.7430573,19.7,19.7,270.3,46.2,130.2,22.5,25.5,56.5,206.8,43.8,33.4,191.7,22.5,46.6,85.9,258.1,156.5,46.0,470.8,34.0,177.3,206.9,13.0,33.3,19.6,218.4,4.7,109.3,1467.0,24.5,19.6,werribee_werribee
VIC,3028,Australia,Victoria,3028 Victoria Australia,-37.87587738,144.7777252,17.7,17.7,269.2,47.4,132.7,19.2,22.5,53.2,203.5,40.4,30.7,193.3,20.0,43.3,89.3,261.5,153.2,43.2,473.7,30.7,177.8,209.3,13.2,32.4,17.6,217.6,7.0,106.0,1495.0,24.9,17.6,werribee_werribee
VIC,3029,Australia,Victoria,3029 Victoria Australia,-37.82123947,144.69487,22.6,22.6,270.2,46.8,124.6,27.9,30.1,62.2,211.6,49.3,37.3,187.3,26.2,52.8,80.3,252.2,161.9,49.8,464.8,39.2,174.5,204.2,12.6,33.8,22.5,217.7,7.2,114.8,1822.0,30.4,22.5,werribee_werribee
VIC,3030,Australia,Victoria,3030 Victoria Australia,-37.91323471,144.6294708,31.1,31.1,281.4,35.2,133.0,31.8,35.9,64.4,215.9,52.3,44.4,197.7,33.6,51.1,79.6,252.3,164.8,56.8,470.8,43.3,186.2,195.7,23.6,44.5,31.0,229.2,6.8,117.3,2100.0,35.0,31.0,werribee_werribee
VIC,3031,Australia,Victoria,3031 Victoria Australia,-37.78998947,144.9226379,2.4,2.4,253.5,63.3,128.8,14.8,12.6,46.6,192.6,33.4,17.5,184.4,6.9,43.9,98.1,268.4,143.9,29.7,472.3,22.8,164.9,224.3,9.9,17.3,2.4,202.2,22.3,97.8,794.0,13.2,2.4,royal_parkville
VIC,3032,Australia,Victoria,3032 Victoria Australia,-37.77471161,144.9000244,4.9,4.9,253.7,62.9,126.4,17.2,15.3,49.2,194.9,36.0,19.7,182.5,9.5,46.3,95.8,265.9,146.4,31.8,469.8,25.4,163.8,222.9,7.6,16.9,4.9,202.1,21.5,100.3,859.0,14.3,4.9,royal_parkville
VIC,3033,Australia,Victoria,3033 Victoria Australia,-37.73948669,144.8575134,10.1,10.1,253.6,63.0,121.2,22.5,20.6,54.5,199.3,41.4,24.4,178.4,14.8,51.5,91.2,260.9,151.2,36.1,464.5,30.8,161.2,220.7,4.4,16.9,10.1,201.5,21.4,105.4,967.0,16.1,10.1,sunshine_stalbans
VIC,3034,Australia,Victoria,3034 Victoria Australia,-37.76153946,144.8626099,8.5,8.5,255.0,61.5,123.7,20.2,18.7,52.7,198.4,39.5,23.3,180.8,13.1,49.1,92.2,262.3,150.0,35.3,466.8,28.9,163.4,220.3,4.1,18.0,8.5,203.0,19.9,103.9,1078.0,18.0,8.5,sunshine_stalbans
