state,postcode,country,state_ok,postcode_state_country,Latitude,Longitude,dist_to_rch,km_to_rch,km_to_albury,km_to_austin,km_to_barwon,km_to_bendigo,km_to_monash,km_to_sunshine,km_to_northern,min_distance,closest_hosp,TravelDuration,TravelDuration_min
VIC,3284,Australia,Victoria,3284 Victoria Australia,-38.26628113,142.1435547,251.3488344,251.3488344,481.8789951,261.6384312,194.5942509,253.178269,263.3480739,240.9527186,260.748398,194.5942509,Barwon,12067,201.1166667
VIC,3294,Australia,Victoria,3294 Victoria Australia,-37.59386826,142.3199158,232.4605645,232.4605645,436.9610118,241.757101,189.9822585,197.7543045,248.8941106,220.5660911,237.3982482,189.9822585,Barwon,11377,189.6166667
VIC,3300,Australia,Victoria,3300 Victoria Australia,-37.79013824,142.0025177,258.9795234,258.9795234,470.8593667,268.6787008,211.0249587,232.7087168,274.1458432,247.4304904,265.3413801,211.0249587,Barwon,12554,209.2333333
VIC,3305,Australia,Victoria,3305 Victoria Australia,-38.23455811,141.4497986,310.5085241,310.5085241,534.7240852,320.6996032,255.0069506,299.657993,323.1910788,299.79002,319.1755113,255.0069506,Barwon,15244,254.0666667
VIC,3321,Australia,Victoria,3321 Victoria Australia,-38.10040283,143.9455566,94.44886685,94.44886685,339.9647613,104.8902416,37.20739775,153.1870873,104.8829626,85.39341815,106.1732609,37.20739775,Barwon,5892,98.2
VIC,3335,Australia,Victoria,3335 Victoria Australia,-37.70476913,144.6796722,25.7253993,25.7253993,262.3608536,33.87677921,56.76574372,111.8710434,45.59870521,13.52669926,30.01547726,13.52669926,Sunshine,2007,33.45
VIC,3336,Australia,Victoria,3336 Victoria Australia,-36.85009384,144.3042908,119.4269207,119.4269207,243.6832093,120.9166885,144.7897838,11.35595399,139.2134153,110.7648502,109.2242453,11.35595399,Bendigo,5964,99.4
VIC,3337,Australia,Victoria,3337 Victoria Australia,-37.62827682,144.5857849,36.92395875,36.92395875,263.2617677,44.03839642,61.27302008,101.3297278,57.18299302,25.02371438,37.85211922,25.02371438,Sunshine,2350,39.16666667
VIC,3338,Australia,Victoria,3338 Victoria Australia,-37.75609207,144.5548401,34.97076514,34.97076514,274.4007898,44.34422382,46.96164491,114.4905564,52.97214906,23.0946144,42.02005375,23.0946144,Sunshine,2615,43.58333333
VIC,3340,Australia,Victoria,3340 Victoria Australia,-37.7423439,144.3952942,49.0804264,49.0804264,284.277073,58.39746277,45.54648289,110.8644288,66.73961008,37.16686885,55.37015176,37.16686885,Sunshine,3270,54.5
VIC,3341,Australia,Victoria,3341 Victoria Australia,-37.58528137,144.3461609,57.94977465,57.94977465,277.339363,65.59187562,62.96241501,93.12473586,77.65871311,45.75015349,59.35007571,45.75015349,Sunshine,3322,55.36666667
VIC,3342,Australia,Victoria,3342 Victoria Australia,-37.63121033,144.2218018,66.54067266,66.54067266,289.2556058,74.99364621,59.1989113,98.22484743,85.32715268,54.29911907,69.8397369,54.29911907,Sunshine,3753,62.55
VIC,3345,Australia,Victoria,3345 Victoria Australia,-37.56655502,144.1122437,77.91576851,77.91576851,293.3879398,85.99931204,68.73025179,92.14797953,97.03983799,65.65633382,80.06150211,65.65633382,Sunshine,3940,65.66666667
VIC,3350,Australia,Victoria,3350 Victoria Australia,-37.5729332,143.86586,98.49694465,98.49694465,312.3652489,107.0121052,77.86791665,98.80512242,116.927243,86.27556521,101.570338,77.86791665,Barwon,4915,81.91666667
VIC,3351,Australia,Victoria,3351 Victoria Australia,-37.51322174,143.6674194,117.1247103,117.1247103,324.5485352,125.513503,93.79546533,101.0219784,135.6379022,104.887552,119.720901,93.79546533,Barwon,5637,93.95
VIC,3352,Australia,Victoria,3352 Victoria Australia,-37.4824295,143.8302307,104.4812107,104.4812107,310.2364652,112.4589469,88.01252753,90.91900804,123.5666994,92.22249295,106.0942833,88.01252753,Barwon,4928,82.13333333
